VendorID,pickup,dropoff,passenger_count,trip_distance,fare_amount,tip_amount
id1,2022-01-01T00:04:14.000000,2022-01-01T00:26:12.000000,1.0,10.83,31.0,0.0
id2,2022-01-01T00:32:17.000000,2022-01-01T00:49:23.000000,1.0,3.97,14.5,3.66
id8,2022-01-01T00:40:58.000000,2022-01-01T01:00:59.000000,4.0,8.44,25.5,0.0
id0,2022-01-01T00:55:13.000000,2022-01-01T01:25:49.000000,1.0,12.61,37.5,12.39
id1,2022-01-01T00:55:24.000000,2022-01-01T01:00:45.000000,1.0,1.49,6.5,0.0
id3,2022-01-01T01:09:34.000000,2022-01-01T01:13:46.000000,1.0,1.22,5.5,1.86
id4,2022-01-01T01:39:02.000000,2022-01-01T01:51:58.000000,2.0,3.2,12.0,3.16
id6,2022-01-01T01:40:03.000000,2022-01-01T01:48:18.000000,1.0,1.32,7.5,2.26
id1,2022-01-01T02:02:58.000000,2022-01-01T02:30:16.000000,2.0,9.8,30.5,8.0
id3,2022-01-01T02:17:53.000000,2022-01-01T02:27:48.000000,1.0,1.59,8.5,1.0
id1,2022-01-01T02:31:41.000000,2022-01-01T02:45:31.000000,0.0,2.7,12.0,3.15
id3,2022-01-01T02:35:45.000000,2022-01-01T02:41:10.000000,5.0,1.32,6.0,1.96
id7,2022-01-01T03:03:06.000000,2022-01-01T03:09:02.000000,1.0,1.64,7.0,2.16
id1,2022-01-01T03:04:44.000000,2022-01-01T03:20:43.000000,1.0,5.01,16.0,3.96
id5,2022-01-01T03:11:14.000000,2022-01-01T03:20:45.000000,1.0,1.86,9.0,2.56
id8,2022-01-01T03:25:00.000000,2022-01-01T03:41:07.000000,2.0,3.78,14.5,3.66
id0,2022-01-01T03:29:36.000000,2022-01-01T03:36:46.000000,1.0,2.44,9.5,2.66
id7,2022-01-01T03:34:38.000000,2022-01-01T03:38:45.000000,3.0,0.83,5.0,0.0
id6,2022-01-01T04:01:12.000000,2022-01-01T04:22:56.000000,2.0,4.3,17.5,6.35
id4,2022-01-01T04:09:16.000000,2022-01-01T04:12:29.000000,1.0,0.51,4.5,0.0
id3,2022-01-01T04:20:29.000000,2022-01-01T04:42:44.000000,1.0,5.71,20.0,4.76
id8,2022-01-01T04:37:41.000000,2022-01-01T04:47:14.000000,1.0,2.3,10.0,0.0
id3,2022-01-01T05:42:21.000000,2022-01-01T05:42:28.000000,2.0,0.0,25.0,5.06
id1,2022-01-01T06:42:07.000000,2022-01-01T07:10:38.000000,1.0,13.9,39.5,1.0
id1,2022-01-01T07:11:20.000000,2022-01-01T07:25:58.000000,1.0,9.6,26.5,0.0
id8,2022-01-01T07:43:39.000000,2022-01-01T07:44:55.000000,2.0,0.5,3.5,0.0
id8,2022-01-01T10:29:20.000000,2022-01-01T10:38:22.000000,1.0,1.62,8.0,2.0
id5,2022-01-01T11:40:33.000000,2022-01-01T11:46:29.000000,1.0,0.92,5.5,1.76
id7,2022-01-01T11:43:03.000000,2022-01-01T11:53:28.000000,3.0,1.74,8.5,2.95
id1,2022-01-01T11:44:23.000000,2022-01-01T11:52:10.000000,1.0,1.49,7.5,2.7
id7,2022-01-01T11:56:52.000000,2022-01-01T12:03:05.000000,1.0,2.7,9.0,0.0
id1,2022-01-01T12:00:14.000000,2022-01-01T12:16:22.000000,1.0,2.56,12.5,3.16
id5,2022-01-01T12:00:25.000000,2022-01-01T12:03:05.000000,2.0,0.42,4.0,1.46
id1,2022-01-01T12:16:44.000000,2022-01-01T12:25:22.000000,2.0,2.16,9.0,2.46
id4,2022-01-01T12:27:27.000000,2022-01-01T12:41:28.000000,1.0,8.9,25.0,0.0
id0,2022-01-01T13:44:05.000000,2022-01-01T13:54:59.000000,2.0,2.2,9.5,2.56
id8,2022-01-01T13:51:45.000000,2022-01-01T14:02:15.000000,1.0,1.94,9.5,0.0
id2,2022-01-01T14:22:45.000000,2022-01-01T14:32:36.000000,5.0,1.27,8.5,3.54
id2,2022-01-01T14:26:39.000000,2022-01-01T14:31:28.000000,1.0,0.92,5.5,2.2
id2,2022-01-01T14:53:43.000000,2022-01-01T15:21:39.000000,1.0,19.6,52.0,12.6
id6,2022-01-01T15:33:00.000000,2022-01-01T16:02:29.000000,2.0,16.97,52.0,0.0
id1,2022-01-01T15:33:36.000000,2022-01-01T15:55:27.000000,1.0,4.46,17.5,4.16
id3,2022-01-01T16:01:30.000000,2022-01-01T16:08:57.000000,2.0,1.6,7.5,2.15
id1,2022-01-01T16:31:57.000000,2022-01-01T16:35:33.000000,1.0,1.0,5.0,1.65
id0,2022-01-01T16:33:20.000000,2022-01-01T17:02:42.000000,3.0,17.61,52.0,12.37
id2,2022-01-01T17:17:48.000000,2022-01-01T17:23:44.000000,2.0,0.7,5.5,1.76
id6,2022-01-01T17:29:45.000000,2022-01-01T17:47:29.000000,1.0,4.97,17.5,0.0
id4,2022-01-01T17:37:49.000000,2022-01-01T17:44:00.000000,1.0,1.0,5.5,3.0
id4,2022-01-01T17:42:09.000000,2022-01-01T17:47:05.000000,1.0,2.0,8.0,1.13
id6,2022-01-01T17:44:02.000000,2022-01-01T17:48:47.000000,1.0,1.0,5.5,1.75
id3,2022-01-01T17:44:13.000000,2022-01-01T18:27:01.000000,1.0,17.91,53.0,10.0
id2,2022-01-01T17:47:56.000000,2022-01-01T18:05:34.000000,1.0,6.01,19.5,5.7
id1,2022-01-01T18:12:19.000000,2022-01-01T18:38:28.000000,1.0,5.06,20.0,20.0
id7,2022-01-01T18:25:53.000000,2022-01-01T18:34:53.000000,3.0,1.8,8.5,2.35
id7,2022-01-01T18:37:29.000000,2022-01-01T18:50:29.000000,2.0,1.1,9.5,1.92
id3,2022-01-01T19:37:22.000000,2022-01-01T19:37:29.000000,1.0,0.01,2.5,0.0
id1,2022-01-01T20:00:26.000000,2022-01-01T20:05:49.000000,1.0,1.1,6.0,1.96
id1,2022-01-01T20:20:27.000000,2022-01-01T20:23:54.000000,2.0,0.76,4.5,0.0
id8,2022-01-01T20:58:56.000000,2022-01-01T21:05:23.000000,1.0,1.11,6.5,2.06
id7,2022-01-01T21:21:38.000000,2022-01-01T21:24:21.000000,2.0,0.4,4.0,1.55
id6,2022-01-01T21:36:05.000000,2022-01-01T21:44:09.000000,2.0,0.8,7.0,2.15
id4,2022-01-01T21:51:23.000000,2022-01-01T21:59:22.000000,1.0,1.41,7.5,2.82
id6,2022-01-01T22:18:41.000000,2022-01-01T22:39:40.000000,1.0,6.86,22.5,7.89
id5,2022-01-01T22:19:54.000000,2022-01-01T22:25:53.000000,1.0,1.18,6.5,0.0
id5,2022-01-01T22:21:22.000000,2022-01-01T22:29:58.000000,1.0,1.68,8.0,0.0
id8,2022-01-01T22:25:08.000000,2022-01-01T22:40:38.000000,1.0,3.49,13.5,0.0
id6,2022-01-01T23:42:30.000000,2022-01-02T00:10:53.000000,2.0,6.7,24.5,2.0
id4,2022-01-01T23:59:02.000000,2022-01-02T00:24:05.000000,3.0,8.28,26.5,9.21
id8,2022-01-02T00:22:00.000000,2022-01-02T00:31:57.000000,1.0,2.31,9.5,0.0
id7,2022-01-02T00:24:18.000000,2022-01-02T00:32:44.000000,2.0,2.54,9.0,1.0
id7,2022-01-02T00:48:12.000000,2022-01-02T00:57:40.000000,1.0,1.85,8.5,3.08
id6,2022-01-02T00:55:30.000000,2022-01-02T01:06:51.000000,2.0,2.07,9.5,2.66
id3,2022-01-02T02:02:10.000000,2022-01-02T02:32:02.000000,1.0,11.61,34.5,5.0
id5,2022-01-02T03:05:56.000000,2022-01-02T03:16:31.000000,1.0,2.61,10.0,4.14
id2,2022-01-02T03:37:35.000000,2022-01-02T03:42:58.000000,2.0,1.9,7.5,0.0
id0,2022-01-02T04:50:09.000000,2022-01-02T05:13:03.000000,3.0,10.78,32.0,0.0
id6,2022-01-02T06:56:40.000000,2022-01-02T07:19:16.000000,1.0,17.5,52.0,11.87
id7,2022-01-02T09:04:59.000000,2022-01-02T09:36:44.000000,1.0,11.4,34.5,7.31
id3,2022-01-02T09:17:31.000000,2022-01-02T09:45:20.000000,6.0,18.39,52.0,11.31
id8,2022-01-02T11:14:00.000000,2022-01-02T11:27:13.000000,1.0,7.73,22.0,6.37
id1,2022-01-02T11:48:13.000000,2022-01-02T12:02:10.000000,2.0,2.3,11.5,2.96
id3,2022-01-02T12:00:06.000000,2022-01-02T12:27:23.000000,2.0,11.9,36.0,9.15
id6,2022-01-02T12:32:03.000000,2022-01-02T13:13:09.000000,1.0,4.5,34.2,0.0
id7,2022-01-02T12:50:11.000000,2022-01-02T13:01:12.000000,1.0,1.04,8.0,1.0
id1,2022-01-02T12:56:17.000000,2022-01-02T13:28:04.000000,1.0,19.1,52.0,6.31
id5,2022-01-02T13:10:07.000000,2022-01-02T13:33:16.000000,2.0,9.83,29.0,9.71
id1,2022-01-02T13:21:57.000000,2022-01-02T13:39:30.000000,1.0,4.77,16.5,3.96
id1,2022-01-02T13:37:55.000000,2022-01-02T13:41:47.000000,1.0,1.4,6.0,1.86
id2,2022-01-02T13:57:19.000000,2022-01-02T14:25:48.000000,3.0,20.96,52.0,11.36
id0,2022-01-02T14:03:43.000000,2022-01-02T14:10:23.000000,2.0,1.23,6.5,1.96
id3,2022-01-02T14:06:46.000000,2022-01-02T14:13:04.000000,1.0,1.1,6.5,2.45
id4,2022-01-02T14:09:36.000000,2022-01-02T14:25:41.000000,1.0,1.8,11.0,4.0
id2,2022-01-02T14:09:45.000000,2022-01-02T14:16:01.000000,1.0,1.45,6.5,1.0
id4,2022-01-02T14:34:18.000000,2022-01-02T14:40:02.000000,1.0,0.77,5.5,1.0
id0,2022-01-02T14:53:53.000000,2022-01-02T15:10:56.000000,1.0,2.2,12.0,3.8
id7,2022-01-02T15:19:55.000000,2022-01-02T15:35:52.000000,2.0,2.41,12.0,0.0
id2,2022-01-02T15:27:44.000000,2022-01-02T15:34:49.000000,1.0,0.93,6.5,1.0
id0,2022-01-02T15:29:12.000000,2022-01-03T15:15:07.000000,1.0,9.59,28.5,7.92
id0,2022-01-02T15:36:31.000000,2022-01-02T15:39:14.000000,2.0,0.59,4.0,1.46
id3,2022-01-02T15:40:23.000000,2022-01-02T15:57:39.000000,2.0,3.07,13.5,5.04
id5,2022-01-02T15:41:04.000000,2022-01-02T15:50:20.000000,1.0,1.78,8.0,2.82
id3,2022-01-02T16:00:06.000000,2022-01-02T16:40:41.000000,1.0,15.4,47.0,15.0
id7,2022-01-02T16:01:23.000000,2022-01-02T16:06:50.000000,3.0,1.0,6.0,1.85
id7,2022-01-02T16:02:58.000000,2022-01-02T16:50:13.000000,1.0,18.52,52.0,0.0
id1,2022-01-02T16:05:33.000000,2022-01-02T16:30:24.000000,3.0,4.0,18.5,4.35
id0,2022-01-02T16:14:20.000000,2022-01-02T16:35:06.000000,3.0,10.43,30.5,0.0
id5,2022-01-02T16:20:33.000000,2022-01-02T16:47:55.000000,1.0,11.2,34.0,8.77
id3,2022-01-02T16:26:57.000000,2022-01-02T16:30:09.000000,1.0,0.9,4.5,0.0
id2,2022-01-02T16:32:55.000000,2022-01-02T16:35:56.000000,1.0,0.5,4.0,2.15
id5,2022-01-02T16:33:03.000000,2022-01-02T17:04:36.000000,1.0,2.3,19.0,0.0
id4,2022-01-02T17:42:53.000000,2022-01-02T17:44:41.000000,1.0,0.4,3.5,0.43
id0,2022-01-02T17:43:24.000000,2022-01-02T18:02:22.000000,1.0,4.9,17.5,0.0
